,reference_year,adm2_name,mean,price_var
107,2017,Bourem,258.17894736842106,48.387280701754406
108,2017,Yatenga,234.33333333333334,34.33333333333334
109,2017,Loroum,234.33333333333334,34.33333333333334
110,2017,Yagha,257.19444444444446,28.444444444444457
111,2017,Seno,257.19444444444446,28.444444444444457
112,2017,Soum,257.19444444444446,28.444444444444457
113,2017,Oudalan,257.19444444444446,28.444444444444457
114,2017,Komonjdjari,203.41666666666666,35.833333333333314
115,2017,Tillia,270.5963302752294,58.92208785098694
116,2017,Banibangou,257.755905511811,23.787155511811022
117,2017,Filingue,257.755905511811,23.787155511811022
118,2017,Ouallam,257.755905511811,23.787155511811022
119,2017,Say,257.755905511811,23.787155511811022
120,2017,Tera,257.755905511811,23.787155511811022
121,2017,Torodi,257.755905511811,23.787155511811022
122,2017,Abala,257.755905511811,23.787155511811022
123,2017,Ayerou,257.755905511811,23.787155511811022
124,2018,Bankass,227.43103448275863,21.34223666855098
125,2018,Koro,227.43103448275863,21.34223666855098
126,2018,Douentza,227.43103448275863,21.34223666855098
127,2018,Djenne,227.43103448275863,21.34223666855098
128,2018,Bandiagara,227.43103448275863,21.34223666855098
129,2018,Tenenkou,227.43103448275863,21.34223666855098
130,2018,Mopti,227.43103448275863,21.34223666855098
131,2018,Youwarou,227.43103448275863,21.34223666855098
132,2018,Gourma-Rharous,271.5072463768116,20.834832583708163
133,2018,Dire,271.5072463768116,20.834832583708163
134,2018,Niafunke,271.5072463768116,20.834832583708163
135,2018,Gao,275.1056910569106,16.926743688489523
136,2018,Ansongo,275.1056910569106,16.926743688489523
137,2018,Menaka,275.1056910569106,16.926743688489523
138,2018,Bourem,275.1056910569106,16.926743688489523
139,2018,Yatenga,243.54166666666666,9.208333333333314
140,2018,Loroum,243.54166666666666,9.208333333333314
141,2018,Yagha,268.27777777777777,11.083333333333314
142,2018,Seno,268.27777777777777,11.083333333333314
143,2018,Soum,268.27777777777777,11.083333333333314
144,2018,Oudalan,268.27777777777777,11.083333333333314
145,2018,Komonjdjari,226.0,22.583333333333343
146,2018,Tillia,243.48648648648648,-27.109843788742893
147,2018,Banibangou,268.99152542372883,11.235619911917809
148,2018,Filingue,268.99152542372883,11.235619911917809
149,2018,Ouallam,268.99152542372883,11.235619911917809
150,2018,Say,268.99152542372883,11.235619911917809
151,2018,Tera,268.99152542372883,11.235619911917809
152,2018,Torodi,268.99152542372883,11.235619911917809
153,2018,Abala,268.99152542372883,11.235619911917809
154,2018,Ayerou,268.99152542372883,11.235619911917809
155,2019,Bankass,196.29347826086956,-31.13755622188907
156,2019,Koro,196.29347826086956,-31.13755622188907
157,2019,Douentza,196.29347826086956,-31.13755622188907
158,2019,Djenne,196.29347826086956,-31.13755622188907
159,2019,Bandiagara,196.29347826086956,-31.13755622188907
160,2019,Tenenkou,196.29347826086956,-31.13755622188907
161,2019,Mopti,196.29347826086956,-31.13755622188907
162,2019,Youwarou,196.29347826086956,-31.13755622188907
163,2019,Gourma-Rharous,256.50632911392404,-15.000917262887583
164,2019,Dire,256.50632911392404,-15.000917262887583
165,2019,Niafunke,256.50632911392404,-15.000917262887583
166,2019,Gao,255.04918032786884,-20.056510729041747
167,2019,Ansongo,255.04918032786884,-20.056510729041747
168,2019,Menaka,255.04918032786884,-20.056510729041747
169,2019,Bourem,255.04918032786884,-20.056510729041747
170,2019,Yatenga,197.0,-46.54166666666666
171,2019,Loroum,197.0,-46.54166666666666
172,2019,Yagha,231.88888888888889,-36.388888888888886
173,2019,Seno,231.88888888888889,-36.388888888888886
174,2019,Soum,231.88888888888889,-36.388888888888886
175,2019,Oudalan,231.88888888888889,-36.388888888888886
176,2019,Komonjdjari,196.66666666666666,-29.333333333333343
177,2019,Tillia,203.87301587301587,-39.61347061347061
178,2019,Banibangou,241.5151515151515,-27.47637390857733
179,2019,Filingue,241.5151515151515,-27.47637390857733
180,2019,Ouallam,241.5151515151515,-27.47637390857733
181,2019,Say,241.5151515151515,-27.47637390857733
182,2019,Tera,241.5151515151515,-27.47637390857733
183,2019,Torodi,241.5151515151515,-27.47637390857733
184,2019,Abala,241.5151515151515,-27.47637390857733
185,2019,Ayerou,241.5151515151515,-27.47637390857733
